Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianPctOfPriceReduction_AllHomes,MedianPriceCutDollar_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductions_AllHomes,PriceToRentRatio_AllHomes,Sale_Counts,Sale_Counts_Seas_Adj,Sale_Prices,ZHVI_AllHomes,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes
12/31/17,"Canyon, Idaho",,708.0,678.0,116.0563541,212515.0,2.501250625,5000.0,0.780189959,1050.0,108.0,,,,,17.01086984,13.9061116,12.0,,,,164700.0,1133.0,1129.0,0.742
12/31/17,"Caribou, Idaho",,,,,,,,,,,,,,,,,13.4,,,,187500.0,1169.0,1162.0,
12/31/17,"Cassia, Idaho",,,,80.95186533,,,,,,90.0,,,,,,,13.46,,,,174400.0,,,
12/31/17,"Clearwater, Idaho",,51.0,49.0,104.2568396,163500.0,,,,,,,,,,,,15.21,,,,216200.0,1198.0,1187.0,
12/31/17,"Custer, Idaho",,,,,325000.0,,,,,,,,,,,,,,,,,,,
12/31/17,"Elmore, Idaho",,120.0,115.0,113.5331517,174900.0,2.622371906,5250.0,,,92.0,,,,,12.29973437,8.092485549,11.52,,,,142400.0,1002.0,986.0,0.702
12/31/17,"Franklin, Idaho",,,,,,,,,,,,,,,,,,,,,,1129.0,1091.0,0.658
12/31/17,"Fremont, Idaho",,,,139.3914474,254450.0,,,,,162.0,,,,,7.375592904,3.389830508,13.21,,,,180000.0,1149.0,1144.0,0.986
12/31/17,"Gem, Idaho",,80.0,70.0,123.0719378,,,,,,112.0,,,,,11.21945394,6.666666667,13.12,,,,189000.0,1208.0,1149.0,0.734
12/31/17,"Gooding, Idaho",,58.0,55.0,101.4051522,148900.0,,,,,,,,,,,,12.01,,,,136200.0,,,
12/31/17,"Idaho, Idaho",,,,,245000.0,,,,,,,,,,,,13.96,,,,187800.0,,,
12/31/17,"Jefferson, Idaho",,114.0,102.0,145.0955248,249000.0,3.050266713,7550.0,,,127.0,,,,,12.58679274,8.333333333,13.69,,,,186600.0,1167.0,1133.0,0.78
