Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianPctOfPriceReduction_AllHomes,MedianPriceCutDollar_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductions_AllHomes,PriceToRentRatio_AllHomes,ZHVI_AllHomes,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes
12/31/17,"Florence, South Carolina",,552,532,98.12661499,170000,5.295686612,5000,0.775480059,,82,43.04,47.82,10.02241651,7.032590051,9.3,122200,1134,1114,0.764
12/31/17,"Georgetown, South Carolina",,806,802,158.762322,309000,2.386634845,6000,,,129,16.26,77.06,11.46827386,7.730923695,12.12,218400,1441,1403,0.896
12/31/17,"Greenville, South Carolina",,1906,1790,112.1506211,269250,2.676268327,6000,0.863171355,1300,103,8.92,86.5,13.07731845,9.340853014,10.85,179400,1388,1371,0.804
12/31/17,"Greenwood, South Carolina",,215,206,87.43540299,129900,4.107085405,6250,,,,,,7.740176804,4.15704388,,,970,1012,0.694
12/31/17,"Hampton, South Carolina",,61,60,62.44548852,115900,,,,,,,,,,,,1258,1239,0.82
12/31/17,"Horry, South Carolina",,4908,4904,126.7058451,204900,2.464760966,5000,0.922460305,1295,112,31.31,59.06,11.6354382,8.997837058,10.31,160100,1305,1283,0.936
12/31/17,"Jasper, South Carolina",,140,142,162.582322,266284,2.899159664,7750,,,,,,10.39524983,7.936507937,,,1242,1235,1.006
12/31/17,"Kershaw, South Carolina",,388,375,93.6914794,197900,3.716672047,5000,,,82,36.3,57.46,13.33929891,10.98130841,8.91,108400,1033,1033,0.758
12/31/17,"Lancaster, South Carolina",,462,428,115.6609547,293000,1.755001755,5000,,,94,34.21,57.58,11.52563552,9.697933227,10.65,152600,1202,1189,0.762
12/31/17,"Laurens, South Carolina",,160,148,,169400,5.423728814,5000,,,,40.34,51.99,11.03413352,8.108108108,8.82,105600,1048,1034,
12/31/17,"Lee, South Carolina",,39,38,,,,,,,,,,,,,,941,940,
12/31/17,"Lexington, South Carolina",,1570,1478,93.96363636,201995,2.392344498,5000,0.803426069,1150,85,29.55,55.91,13.88123558,9.893455099,9.67,135800,1178,1166,0.742
12/31/17,"McCormick, South Carolina",,,,113.0539644,249900,,,,,,,,7.350765852,3.875968992,,,1328,1293,
12/31/17,"Marion, South Carolina",,,,,,9.099181074,5000,,,,,,11.9247122,9.677419355,,,,,
12/31/17,"Marlboro, South Carolina",,,,,83900,,,,,,,,,,,,,793,
12/31/17,"Newberry, South Carolina",,165,160,85.68253968,169000,7.510697604,5700,,,,,,13.57148563,9.89010989,,,959,965,0.696
12/31/17,"Oconee, South Carolina",,738,672,110.1611312,237000,4.764173416,9600,,,101,27.17,67,10.86231916,6.834030683,11.82,151000,1125,1099,0.77
12/31/17,"Orangeburg, South Carolina",,395,414,68.61235646,120000,6.968989663,9000,,,64,43.62,46.99,8.456600717,6.504065041,8.18,88400,935,940,0.646
12/31/17,"Pickens, South Carolina",,,,113.9938717,224900,2.382898067,5000,0.837988827,917.5,97,34.68,57.06,10.17831097,6.700167504,10.57,146500,1184,1174,0.77
12/31/17,"Richland, South Carolina",,2147,2046,103.8854478,198675,2.632964718,5000,0.90692038,1125,79,31.4,55.19,16.10955803,12.13164945,9.42,131800,1178,1144,0.72
12/31/17,"Saluda, South Carolina",,23,24,,,,,,,,,,,,,,,,
12/31/17,"Spartanburg, South Carolina",,1336,1247,96.2815405,189900,3.849114704,5090,0.737919025,1012.5,84,12.48,81.28,10.58450139,7.38177624,9.59,131400,1164,1156,0.74
12/31/17,"Sumter, South Carolina",,585,560,81.97132254,149000,3.703703704,4500,0.659754948,950,71,53.58,36.16,10.41931039,8.198614319,9.15,85800,824,821,0.628
12/31/17,"Union, South Carolina",,,,59.16733387,,,,,,,,,,,,,,,
12/31/17,"Williamsburg, South Carolina",,,,60.89309878,119999,,,,,,,,,,,,,,
12/31/17,"York, South Carolina",,751,682,122.9611212,299900,2.429784794,8500,,1350,111,15.07,78.88,12.18061338,9.648518263,11.43,183300,1377,1353,0.81
12/31/17,"Beadle, South Dakota",,101,96,,140000,,,,,,,,,,,,,1001,
12/31/17,"Brookings, South Dakota",,,,157.2987296,193400,,,,,,,,,,,,1203,1195,0.91
12/31/17,"Brown, South Dakota",,138,122,79.20673077,174000,,,,,,,,,,,,,,
12/31/17,"Butte, South Dakota",,,,,159900,,,,,,,,,,,,,,
12/31/17,"Custer, South Dakota",,,,,320000,,,,,,,,,,,,,,
12/31/17,"Fall River, South Dakota",,51,43,,168250,,,,,,,,,,,,,,
12/31/17,"Hughes, South Dakota",,,,,,,,,,,,,,,,,1272,1248,
12/31/17,"Lake, South Dakota",,,,96.17023026,,,,,,,,,,,,,,,
12/31/17,"Lawrence, South Dakota",,266,238,167.4506115,299000,7.375776398,6000,,,,,,7.653120144,4.262295082,12.61,205300,1297,1243,1.046
12/31/17,"Lincoln, South Dakota",,,,134.9318658,269200,2.174385736,5000,0.912663755,1272,,,,9.6221736,4.827586207,,,1171,1297,
12/31/17,"Meade, South Dakota",,123,113,117.2647072,239950,2.754718957,7500,,,,,,7.913187762,4.697986577,,,,,
12/31/17,"Minnehaha, South Dakota",,,,165.6568878,214900,2.873563218,5100,0.899363794,995,139,,,12.42334958,7.943925234,12.87,181000,1194,1183,0.95
12/31/17,"Pennington, South Dakota",,494,449,175.1023623,236900,3.039630627,7900,0.919117647,,166,,,12.00270798,8.37520938,11.82,192300,1324,1280,1.182
12/31/17,"Union, South Dakota",,74,68,144.5117423,279900,,,,,,,,,,,,,1280,
12/31/17,"Yankton, South Dakota",,,,,172400,,,,,,,,,,11.42,163700,1187,1174,
12/31/17,"Anderson, Tennessee",,309,310,104.3145442,159950,3.819783099,5000,,,84,15.2,78.17,13.62057834,10,10.34,121600,932,926,0.694
12/31/17,"Bedford, Tennessee",,,,115.8634816,192850,2.889935256,5000,,,100,,,12.42518574,9.452736318,10.8,154600,1192,1190,0.81
12/31/17,"Benton, Tennessee",,119,112,88.83928571,122950,,,,,54,,,7.538790129,5.357142857,7.45,76400,,,
12/31/17,"Bledsoe, Tennessee",,87,84,110.4651163,,,,,,,,,,,,,,,
12/31/17,"Blount, Tennessee",,601,590,124.5677144,229900,3.488372093,5100,0.847457627,1200,103,19.69,73.32,13.07313495,9.459459459,11.52,158100,1108,1094,0.764
12/31/17,"Bradley, Tennessee",,436,424,117.8773585,199900,2.781909587,5000,,912.5,91,19.92,73.39,10.16519196,6.554307116,10.72,132100,980,963,0.698
12/31/17,"Campbell, Tennessee",,248,238,106.456044,175250,8.491268251,8300,,,78,,,7.261756674,4.333333333,,,,,
12/31/17,"Cannon, Tennessee",,53,56,120.6145251,175000,,,,,98,15.55,81.91,,,10.86,145800,1152,1146,0.79
12/31/17,"Carroll, Tennessee",,188,183,69.13043478,119900,,,,,48,,,7.858572792,5.202312139,6.88,68000,,,
12/31/17,"Carter, Tennessee",,221,221,101.1077724,149900,4.138996271,5000,,,80,26.14,66.56,11.72298408,8.487084871,9.96,113500,965,959,0.71
12/31/17,"Cheatham, Tennessee",,164,164,130.8998857,249900,2.713072075,9900,,,128,8.61,88.78,13.9336164,12.01923077,11.95,180500,1246,1242,0.888
12/31/17,"Chester, Tennessee",,,,81.52022315,135450,,,,,65,41.54,51.23,,,8.64,102700,,,
12/31/17,"Claiborne, Tennessee",,,,121.3201821,177450,,,,,,,,,,,,,,
12/31/17,"Clay, Tennessee",,39,40,96.80232558,,,,,,,,,,,,,,,
12/31/17,"Cocke, Tennessee",,181,185,105.2242235,149900,6.568858027,9900,,,,,,9.208868218,7.142857143,,,,,
